label,bit,carton_pk,SDSSC2VB,program,version,v1,name,mapper,alt_program,alt_name
manual_mwm_halo_mp_wise_apogee_1.0.35,359,1534,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_mp_wise_apogee,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_mp_wise_apogee_single_1.0.35,360,1535,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_mp_wise_apogee_single,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_mp_wise_boss_1.0.35,361,1536,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_mp_wise_boss,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_mp_wise_boss_single_1.0.35,362,1537,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_mp_wise_boss_single,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_vmp_wise_apogee_1.0.35,363,1538,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_vmp_wise_apogee,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_vmp_wise_apogee_single_1.0.35,364,1539,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_vmp_wise_apogee_single,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_vmp_wise_boss_1.0.35,365,1540,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_vmp_wise_boss,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_halo_vmp_wise_boss_single_1.0.35,366,1541,1,mwm_halo,1.0.35,10.35,manual_mwm_halo_vmp_wise_boss_single,mwm,halo,manual_mwm_halo_mp_wise
manual_mwm_tess_ob_apogee_1.0.35,367,1554,1,mwm_tessob,1.0.35,10.35,manual_mwm_tess_ob_apogee,mwm,tess,mwm_tess_ob
bhm_colr_galaxies_lsdr10_1.0.38,368,1555,1,bhm_filler,1.0.38,10.38,bhm_colr_galaxies_lsdr10,bhm,filler,bhm_filler
manual_mwm_validation_cool_apogee_1.0.35,369,1556,1,mwm_validation,1.0.35,10.35,manual_mwm_validation_cool_apogee,mwm,validation,mwm_validation_cool
manual_mwm_validation_cool_boss_1.0.35,370,1557,1,mwm_validation,1.0.35,10.35,manual_mwm_validation_cool_boss,mwm,validation,mwm_validation_cool
manual_mwm_validation_hot_apogee_1.0.35,371,1558,1,mwm_validation,1.0.35,10.35,manual_mwm_validation_hot_apogee,mwm,validation,mwm_validation_hot
manual_mwm_validation_hot_boss_1.0.35,372,1559,1,mwm_validation,1.0.35,10.35,manual_mwm_validation_hot_boss,mwm,validation,mwm_validation_hot
mwm_ob_core_boss_1.0.39,373,1561,1,mwm_ob,1.0.39,10.39,mwm_ob_core_boss,mwm,ob,mwm_ob_core
mwm_ob_core_boss_single_1.0.39,374,1562,1,mwm_ob,1.0.39,10.39,mwm_ob_core_boss_single,mwm,ob,mwm_ob_core
mwm_ob_cepheids_boss_1.0.39,375,1565,1,mwm_ob,1.0.39,10.39,mwm_ob_cepheids_boss,mwm,ob,mwm_ob_cepheids
mwm_bin_rv_long_apogee_1.0.39,376,1566,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_long_apogee,mwm,bin,mwm_bin_rv_long
mwm_bin_rv_short_mdwarf_apogee_18epoch_1.0.39,377,1567,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_short_mdwarf_apogee_18epoch,mwm,bin,mwm_bin_rv_short_mdwarf
mwm_bin_rv_short_mdwarf_apogee_12epoch_1.0.39,378,1568,1,mwm_bin,1.0.39,10.39,mwm_bin_rv_short_mdwarf_apogee_12epoch,mwm,bin,mwm_bin_rv_short_mdwarf
