label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
bhm_rm_var_1.0.12,298,1361,4,bhm_rm,1.0.12,10.12,bhm_rm_var,bhm,rm,bhm_rm
bhm_rm_ancillary_1.0.12,299,1362,4,bhm_rm,1.0.12,10.12,bhm_rm_ancillary,bhm,rm,bhm_rm
bhm_rm_xrayqso_1.0.12,300,1363,4,bhm_rm,1.0.12,10.12,bhm_rm_xrayqso,bhm,rm,bhm_rm
manual_mwm_magcloud_massive_apogee_1.0.10,301,1367,4,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_massive_apogee,mwm,magcloud,mwm_magcloud_massive
manual_mwm_magcloud_massive_boss_1.0.10,302,1368,4,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_massive_boss,mwm,magcloud,mwm_magcloud_massive
manual_mwm_magcloud_symbiotic_apogee_1.0.10,303,1369,4,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_symbiotic_apogee,mwm,magcloud,mwm_magcloud_symbiotic
ops_std_boss_gdr2_1.0.13,304,1370,4,ops_std,1.0.13,10.13,ops_std_boss_gdr2,ops,std,ops_std
ops_std_apogee_1.0.14,305,1371,4,ops_std,1.0.14,10.14,ops_std_apogee,ops,std,ops_std
ops_std_eboss_1.0.15,306,1372,4,ops_std,1.0.15,10.15,ops_std_eboss,ops,std,ops_std
ops_std_boss_1.0.16,307,1374,4,ops_std,1.0.16,10.16,ops_std_boss,ops,std,ops_std
ops_std_boss_red_1.0.16,308,1375,4,ops_std,1.0.16,10.16,ops_std_boss_red,ops,std,ops_std
ops_std_boss_tic_1.0.16,309,1376,4,ops_std,1.0.16,10.16,ops_std_boss_tic,ops,std,ops_std
mwm_snc_100pc_apogee_1.0.17,310,1378,4,mwm_snc,1.0.17,10.17,mwm_snc_100pc_apogee,mwm,snc,mwm_snc
